Orig_country,Orig_City_name,Dest_country,Dest_City_name,year,month,Total_Est_Pax
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,1,20118
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,2,17536
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,3,19610
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,4,21404
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,5,18582
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,6,18154
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,7,18774
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,8,19436
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,9,19238
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,10,21618
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,11,22081
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2018,12,20710
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,1,21842
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,2,20514
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,3,23701
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,4,23732
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,5,20128
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,6,23198
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,7,19919
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,8,18639
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,9,20114
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,10,21967
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,11,22222
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2019,12,23524
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,1,22202
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,2,19131
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,3,6085
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,4,3693
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,5,3218
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,6,2891
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,7,3611
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,8,3764
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,9,2611
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,10,2630
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,11,2777
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2020,12,3126
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,1,2515
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,2,2243
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,3,2506
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,4,3019
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,5,3496
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,6,4610
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,7,3589
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,8,3117
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,9,2817
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,10,3004
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,11,3674
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2021,12,4064
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,1,3650
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,2,3407
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,3,4288
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,4,6512
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,5,6372
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,6,9379
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,7,10867
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,8,12086
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,9,11016
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,10,13744
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,11,14859
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2022,12,16433
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2023,1,15130
Indonesia,Jakarta-Metro,South Korea,Seoul-Metro,2023,2,14434
