Orig_country,Orig_City_name,Dest_country,Dest_City_name,year,month,Total_Est_Pax
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,1,21421
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,2,17746
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,3,19665
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,4,22339
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,5,19891
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,6,19010
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,7,18757
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,8,19609
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,9,18375
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,10,20636
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,11,21650
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2018,12,21528
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,1,24048
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,2,20799
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,3,23318
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,4,25274
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,5,19425
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,6,23846
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,7,20070
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,8,19231
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,9,19455
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,10,20756
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,11,24077
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2019,12,22482
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,1,24175
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,2,19319
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,3,5195
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,4,2252
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,5,2960
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,6,3061
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,7,3856
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,8,4203
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,9,2723
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,10,2674
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,11,2640
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2020,12,3125
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,1,2678
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,2,2293
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,3,2662
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,4,3101
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,5,2684
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,6,3656
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,7,3258
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,8,3507
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,9,3295
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,10,3565
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,11,3644
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2021,12,4281
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,1,3576
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,2,3384
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,3,4420
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,4,6770
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,5,7344
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,6,9391
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,7,10798
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,8,12798
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,9,11790
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,10,13612
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,11,15289
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2022,12,15920
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,1,16919
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,2,14612
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,3,16665
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,4,15913
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,5,19832
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,6,17219
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,7,19504
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,8,19011
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,9,17635
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,10,20899
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,11,20210
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2023,12,19044
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2024,1,20457
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2024,2,16970
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2024,3,16933
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2024,4,20938
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2024,5,20232
South Korea,Seoul-Metro,Indonesia,Jakarta-Metro,2024,6,18616
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,1,10740
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,2,9848
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,3,9971
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,4,11955
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,5,12548
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,6,12575
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,7,14458
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,8,12951
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,9,12105
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,10,13582
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,11,12952
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2018,12,13072
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,1,12959
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,2,12604
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,3,13022
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,4,13319
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,5,15730
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,6,16209
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,7,17361
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,8,18183
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,9,17229
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,10,14414
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,11,17657
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2019,12,17568
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,1,18203
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,2,12754
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,3,4488
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,4,697
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,5,77
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,6,137
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,7,61
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,8,469
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,9,241
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,10,177
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,11,274
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2020,12,360
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,1,154
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,2,104
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,3,78
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,4,148
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,5,65
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,6,130
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,7,39
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,8,8
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,9,76
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,10,116
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,11,40
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2021,12,27
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,1,77
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,2,14
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,3,256
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,4,203
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,5,882
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,6,2031
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,7,4529
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,8,4996
South Korea,Seoul-Metro,Indonesia,Denpasar-Bali,2022,9,5928
