disease,year,week,cases
Adenovirus,2017,1,112
Adenovirus,2017,2,74
Adenovirus,2017,3,82
Adenovirus,2017,4,82
Adenovirus,2017,5,73
Adenovirus,2017,6,111
Adenovirus,2017,7,83
Adenovirus,2017,8,94
Adenovirus,2017,9,89
Adenovirus,2017,10,112
Adenovirus,2017,11,99
Adenovirus,2017,12,116
Adenovirus,2017,13,142
Adenovirus,2017,14,170
Adenovirus,2017,15,202
Adenovirus,2017,16,217
Adenovirus,2017,17,255
Adenovirus,2017,18,168
Adenovirus,2017,19,254
Adenovirus,2017,20,150
Adenovirus,2017,21,159
Adenovirus,2017,22,178
Adenovirus,2017,23,166
Adenovirus,2017,24,133
Adenovirus,2017,25,159
Adenovirus,2017,26,128
Adenovirus,2017,27,76
Adenovirus,2017,28,89
Adenovirus,2017,29,92
Adenovirus,2017,30,84
Adenovirus,2017,31,85
Adenovirus,2017,32,54
Adenovirus,2017,33,82
Adenovirus,2017,34,75
Adenovirus,2017,35,109
Adenovirus,2017,36,106
Adenovirus,2017,37,99
Adenovirus,2017,38,111
Adenovirus,2017,39,116
Adenovirus,2017,40,54
Adenovirus,2017,41,103
Adenovirus,2017,42,120
Adenovirus,2017,43,143
Adenovirus,2017,44,160
Adenovirus,2017,45,175
Adenovirus,2017,46,162
Adenovirus,2017,47,160
Adenovirus,2017,48,153
Adenovirus,2017,49,164
Adenovirus,2017,50,169
Adenovirus,2017,51,171
Adenovirus,2017,52,143
Adenovirus,2018,1,143
Adenovirus,2018,2,130
Adenovirus,2018,3,93
Adenovirus,2018,4,85
Adenovirus,2018,5,103
Adenovirus,2018,6,105
Adenovirus,2018,7,97
Adenovirus,2018,8,111
Adenovirus,2018,9,80
Adenovirus,2018,10,104
Adenovirus,2018,11,114
Adenovirus,2018,12,133
Adenovirus,2018,13,165
Adenovirus,2018,14,187
Adenovirus,2018,15,219
Adenovirus,2018,16,277
Adenovirus,2018,17,308
Adenovirus,2018,18,307
Adenovirus,2018,19,299
Adenovirus,2018,20,317
Adenovirus,2018,21,286
Adenovirus,2018,22,322
Adenovirus,2018,23,270
Adenovirus,2018,24,238
Adenovirus,2018,25,207
Adenovirus,2018,26,183
Adenovirus,2018,27,149
Adenovirus,2018,28,156
Adenovirus,2018,29,160
Adenovirus,2018,30,184
Adenovirus,2018,31,210
Adenovirus,2018,32,253
Adenovirus,2018,33,254
Adenovirus,2018,34,401
Adenovirus,2018,35,383
Adenovirus,2018,36,398
Adenovirus,2018,37,434
Adenovirus,2018,38,392
Adenovirus,2018,39,316
Adenovirus,2018,40,333
Adenovirus,2018,41,278
Adenovirus,2018,42,319
Adenovirus,2018,43,361
Adenovirus,2018,44,406
Adenovirus,2018,45,431
Adenovirus,2018,46,473
Adenovirus,2018,47,476
Adenovirus,2018,48,466
Adenovirus,2018,49,434
Adenovirus,2018,50,425
Adenovirus,2018,51,336
Adenovirus,2018,52,316
Adenovirus,2019,1,254
Adenovirus,2019,2,254
Adenovirus,2019,3,211
Adenovirus,2019,4,198
Adenovirus,2019,5,166
Adenovirus,2019,6,126
Adenovirus,2019,7,108
Adenovirus,2019,8,112
Adenovirus,2019,9,109
Adenovirus,2019,10,136
Adenovirus,2019,11,114
Adenovirus,2019,12,137
Adenovirus,2019,13,168
Adenovirus,2019,14,189
Adenovirus,2019,15,195
Adenovirus,2019,16,231
Adenovirus,2019,17,251
Adenovirus,2019,18,246
Adenovirus,2019,19,275
Adenovirus,2019,20,300
Adenovirus,2019,21,284
Adenovirus,2019,22,360
Adenovirus,2019,23,294
Adenovirus,2019,24,279
Adenovirus,2019,25,302
Adenovirus,2019,26,250
Adenovirus,2019,27,278
Adenovirus,2019,28,260
Adenovirus,2019,29,255
Adenovirus,2019,30,237
Adenovirus,2019,31,290
Adenovirus,2019,32,292
Adenovirus,2019,33,308
Adenovirus,2019,34,379
Adenovirus,2019,35,401
Adenovirus,2019,36,431
Adenovirus,2019,37,326
Adenovirus,2019,38,508
Adenovirus,2019,39,377
Adenovirus,2019,40,428
Adenovirus,2019,41,368
Adenovirus,2019,42,387
Adenovirus,2019,43,439
Adenovirus,2019,44,405
Adenovirus,2019,45,403
Adenovirus,2019,46,399
Adenovirus,2019,47,452
Adenovirus,2019,48,457
Adenovirus,2019,49,490
Adenovirus,2019,50,397
Adenovirus,2019,51,332
Adenovirus,2019,52,314
Adenovirus,2020,1,257
Adenovirus,2020,2,212
Adenovirus,2020,3,186
Adenovirus,2020,4,138
Adenovirus,2020,5,128
Adenovirus,2020,6,110
Adenovirus,2020,7,87
Adenovirus,2020,8,74
Adenovirus,2020,9,53
Adenovirus,2020,10,39
Adenovirus,2020,11,30
Adenovirus,2020,12,34
Adenovirus,2020,13,25
Adenovirus,2020,14,20
Adenovirus,2020,15,20
Adenovirus,2020,16,14
Adenovirus,2020,17,20
Adenovirus,2020,18,16
Adenovirus,2020,19,21
Adenovirus,2020,20,28
Adenovirus,2020,21,20
Adenovirus,2020,22,19
Adenovirus,2020,23,19
Adenovirus,2020,24,24
Adenovirus,2020,25,22
Adenovirus,2020,26,29
Adenovirus,2020,27,29
Adenovirus,2020,28,41
Adenovirus,2020,29,30
Adenovirus,2020,30,38
Adenovirus,2020,31,33
Adenovirus,2020,32,22
Adenovirus,2020,33,29
Adenovirus,2020,34,11
Adenovirus,2020,35,17
Adenovirus,2020,36,10
Adenovirus,2020,37,13
Adenovirus,2020,38,18
Adenovirus,2020,39,19
Adenovirus,2020,40,17
Adenovirus,2020,41,19
Adenovirus,2020,42,19
Adenovirus,2020,43,18
Adenovirus,2020,44,18
Adenovirus,2020,45,7
Adenovirus,2020,46,23
Adenovirus,2020,47,30
Adenovirus,2020,48,30
Adenovirus,2020,49,30
Adenovirus,2020,50,40
Adenovirus,2020,51,44
Adenovirus,2020,52,33
Adenovirus,2021,1,26
Adenovirus,2021,2,29
Adenovirus,2021,3,22
Adenovirus,2021,4,22
Adenovirus,2021,5,22
Adenovirus,2021,6,15
Adenovirus,2021,7,10
Adenovirus,2021,8,16
Adenovirus,2021,9,10
Adenovirus,2021,10,14
Adenovirus,2021,11,19
Adenovirus,2021,12,19
Adenovirus,2021,13,15
Adenovirus,2021,14,30
Adenovirus,2021,15,25
Adenovirus,2021,16,19
Adenovirus,2021,17,28
Adenovirus,2021,18,26
Adenovirus,2021,19,37
Adenovirus,2021,20,41
Adenovirus,2021,21,35
Adenovirus,2021,22,34
Adenovirus,2021,23,38
Adenovirus,2021,24,39
Adenovirus,2021,25,45
Adenovirus,2021,26,38
Adenovirus,2021,27,33
Adenovirus,2021,28,29
Adenovirus,2021,29,29
Adenovirus,2021,30,28
Adenovirus,2021,31,20
Adenovirus,2021,32,12
Adenovirus,2021,33,17
Adenovirus,2021,34,12
Adenovirus,2021,35,12
Adenovirus,2021,36,13
Adenovirus,2021,37,5
Adenovirus,2021,38,8
Adenovirus,2021,39,9
Adenovirus,2021,40,17
Adenovirus,2021,41,12
Adenovirus,2021,42,12
Adenovirus,2021,43,17
Adenovirus,2021,44,15
Adenovirus,2021,45,12
Adenovirus,2021,46,13
Adenovirus,2021,47,18
Adenovirus,2021,48,13
Adenovirus,2021,49,12
Adenovirus,2021,50,15
Adenovirus,2021,51,22
Adenovirus,2021,52,13
Adenovirus,2022,1,18
Adenovirus,2022,2,19
Adenovirus,2022,3,23
Adenovirus,2022,4,23
Adenovirus,2022,5,35
Adenovirus,2022,6,28
Adenovirus,2022,7,25
