disease,year,week,cases
Human bocavirus,2017,1,31
Human bocavirus,2017,2,12
Human bocavirus,2017,3,14
Human bocavirus,2017,4,28
Human bocavirus,2017,5,22
Human bocavirus,2017,6,34
Human bocavirus,2017,7,30
Human bocavirus,2017,8,34
Human bocavirus,2017,9,35
Human bocavirus,2017,10,38
Human bocavirus,2017,11,56
Human bocavirus,2017,12,86
Human bocavirus,2017,13,157
Human bocavirus,2017,14,190
Human bocavirus,2017,15,223
Human bocavirus,2017,16,293
Human bocavirus,2017,17,367
Human bocavirus,2017,18,249
Human bocavirus,2017,19,373
Human bocavirus,2017,20,252
Human bocavirus,2017,21,264
Human bocavirus,2017,22,189
Human bocavirus,2017,23,167
Human bocavirus,2017,24,133
Human bocavirus,2017,25,114
Human bocavirus,2017,26,89
Human bocavirus,2017,27,71
Human bocavirus,2017,28,72
Human bocavirus,2017,29,62
Human bocavirus,2017,30,47
Human bocavirus,2017,31,51
Human bocavirus,2017,32,43
Human bocavirus,2017,33,28
Human bocavirus,2017,34,33
Human bocavirus,2017,35,49
Human bocavirus,2017,36,28
Human bocavirus,2017,37,43
Human bocavirus,2017,38,42
Human bocavirus,2017,39,45
Human bocavirus,2017,40,14
Human bocavirus,2017,41,26
Human bocavirus,2017,42,26
Human bocavirus,2017,43,40
Human bocavirus,2017,44,36
Human bocavirus,2017,45,37
Human bocavirus,2017,46,48
Human bocavirus,2017,47,44
Human bocavirus,2017,48,48
Human bocavirus,2017,49,57
Human bocavirus,2017,50,43
Human bocavirus,2017,51,41
Human bocavirus,2017,52,27
Human bocavirus,2018,1,22
Human bocavirus,2018,2,23
Human bocavirus,2018,3,23
Human bocavirus,2018,4,14
Human bocavirus,2018,5,34
Human bocavirus,2018,6,27
Human bocavirus,2018,7,21
Human bocavirus,2018,8,34
Human bocavirus,2018,9,27
Human bocavirus,2018,10,18
Human bocavirus,2018,11,28
Human bocavirus,2018,12,43
Human bocavirus,2018,13,47
Human bocavirus,2018,14,56
Human bocavirus,2018,15,49
Human bocavirus,2018,16,86
Human bocavirus,2018,17,122
Human bocavirus,2018,18,164
Human bocavirus,2018,19,181
Human bocavirus,2018,20,287
Human bocavirus,2018,21,298
Human bocavirus,2018,22,347
Human bocavirus,2018,23,322
Human bocavirus,2018,24,282
Human bocavirus,2018,25,263
Human bocavirus,2018,26,258
Human bocavirus,2018,27,186
Human bocavirus,2018,28,184
Human bocavirus,2018,29,166
Human bocavirus,2018,30,135
Human bocavirus,2018,31,117
Human bocavirus,2018,32,92
Human bocavirus,2018,33,88
Human bocavirus,2018,34,87
Human bocavirus,2018,35,65
Human bocavirus,2018,36,66
Human bocavirus,2018,37,82
Human bocavirus,2018,38,70
Human bocavirus,2018,39,68
Human bocavirus,2018,40,43
Human bocavirus,2018,41,65
Human bocavirus,2018,42,46
Human bocavirus,2018,43,54
Human bocavirus,2018,44,78
Human bocavirus,2018,45,82
Human bocavirus,2018,46,94
Human bocavirus,2018,47,87
Human bocavirus,2018,48,106
Human bocavirus,2018,49,92
Human bocavirus,2018,50,79
Human bocavirus,2018,51,68
Human bocavirus,2018,52,70
Human bocavirus,2019,1,66
Human bocavirus,2019,2,48
Human bocavirus,2019,3,51
Human bocavirus,2019,4,29
Human bocavirus,2019,5,26
Human bocavirus,2019,6,24
Human bocavirus,2019,7,19
Human bocavirus,2019,8,15
Human bocavirus,2019,9,27
Human bocavirus,2019,10,43
Human bocavirus,2019,11,47
Human bocavirus,2019,12,37
Human bocavirus,2019,13,58
Human bocavirus,2019,14,63
Human bocavirus,2019,15,80
Human bocavirus,2019,16,94
Human bocavirus,2019,17,129
Human bocavirus,2019,18,168
Human bocavirus,2019,19,212
Human bocavirus,2019,20,311
Human bocavirus,2019,21,360
Human bocavirus,2019,22,352
Human bocavirus,2019,23,345
Human bocavirus,2019,24,367
Human bocavirus,2019,25,341
Human bocavirus,2019,26,313
Human bocavirus,2019,27,281
Human bocavirus,2019,28,225
Human bocavirus,2019,29,194
Human bocavirus,2019,30,180
Human bocavirus,2019,31,150
Human bocavirus,2019,32,113
Human bocavirus,2019,33,101
Human bocavirus,2019,34,104
Human bocavirus,2019,35,92
Human bocavirus,2019,36,79
Human bocavirus,2019,37,69
Human bocavirus,2019,38,116
Human bocavirus,2019,39,99
Human bocavirus,2019,40,65
Human bocavirus,2019,41,78
Human bocavirus,2019,42,80
Human bocavirus,2019,43,109
Human bocavirus,2019,44,68
Human bocavirus,2019,45,68
Human bocavirus,2019,46,73
Human bocavirus,2019,47,90
Human bocavirus,2019,48,87
Human bocavirus,2019,49,79
Human bocavirus,2019,50,81
Human bocavirus,2019,51,64
Human bocavirus,2019,52,56
Human bocavirus,2020,1,55
Human bocavirus,2020,2,60
Human bocavirus,2020,3,40
Human bocavirus,2020,4,36
Human bocavirus,2020,5,33
Human bocavirus,2020,6,33
Human bocavirus,2020,7,27
Human bocavirus,2020,8,17
Human bocavirus,2020,9,22
Human bocavirus,2020,10,14
