disease,city,year,week,cases
SFTS,All,2017,1,0
SFTS,All,2017,2,0
SFTS,All,2017,3,0
SFTS,All,2017,4,0
SFTS,All,2017,5,0
SFTS,All,2017,6,0
SFTS,All,2017,7,0
SFTS,All,2017,8,0
SFTS,All,2017,9,0
SFTS,All,2017,10,0
SFTS,All,2017,11,0
SFTS,All,2017,12,0
SFTS,All,2017,13,0
SFTS,All,2017,14,0
SFTS,All,2017,15,0
SFTS,All,2017,16,0
SFTS,All,2017,17,0
SFTS,All,2017,18,2
SFTS,All,2017,19,3
SFTS,All,2017,20,3
SFTS,All,2017,21,3
SFTS,All,2017,22,6
SFTS,All,2017,23,7
SFTS,All,2017,24,10
SFTS,All,2017,25,9
SFTS,All,2017,26,8
SFTS,All,2017,27,7
SFTS,All,2017,28,12
SFTS,All,2017,29,10
SFTS,All,2017,30,12
SFTS,All,2017,31,13
SFTS,All,2017,32,7
SFTS,All,2017,33,12
SFTS,All,2017,34,6
SFTS,All,2017,35,11
SFTS,All,2017,36,12
SFTS,All,2017,37,11
SFTS,All,2017,38,10
SFTS,All,2017,39,16
SFTS,All,2017,40,14
SFTS,All,2017,41,35
SFTS,All,2017,42,20
SFTS,All,2017,43,10
SFTS,All,2017,44,2
SFTS,All,2017,45,0
SFTS,All,2017,46,1
SFTS,All,2017,47,0
SFTS,All,2017,48,0
SFTS,All,2017,49,0
SFTS,All,2017,50,0
SFTS,All,2017,51,0
SFTS,All,2017,52,0
SFTS,All,2018,1,0
SFTS,All,2018,2,0
SFTS,All,2018,3,0
SFTS,All,2018,4,0
SFTS,All,2018,5,0
SFTS,All,2018,6,0
SFTS,All,2018,7,0
SFTS,All,2018,8,0
SFTS,All,2018,9,0
SFTS,All,2018,10,0
SFTS,All,2018,11,0
SFTS,All,2018,12,0
SFTS,All,2018,13,0
SFTS,All,2018,14,0
SFTS,All,2018,15,2
SFTS,All,2018,16,1
SFTS,All,2018,17,1
SFTS,All,2018,18,3
SFTS,All,2018,19,2
SFTS,All,2018,20,10
SFTS,All,2018,21,2
SFTS,All,2018,22,6
SFTS,All,2018,23,12
SFTS,All,2018,24,13
SFTS,All,2018,25,15
SFTS,All,2018,26,7
SFTS,All,2018,27,5
SFTS,All,2018,28,15
SFTS,All,2018,29,14
SFTS,All,2018,30,10
SFTS,All,2018,31,13
SFTS,All,2018,32,6
SFTS,All,2018,33,7
SFTS,All,2018,34,4
SFTS,All,2018,35,4
SFTS,All,2018,36,5
SFTS,All,2018,37,10
SFTS,All,2018,38,12
SFTS,All,2018,39,11
SFTS,All,2018,40,21
SFTS,All,2018,41,21
SFTS,All,2018,42,17
SFTS,All,2018,43,8
SFTS,All,2018,44,1
SFTS,All,2018,45,0
SFTS,All,2018,46,1
SFTS,All,2018,47,0
SFTS,All,2018,48,0
SFTS,All,2018,49,0
SFTS,All,2018,50,0
SFTS,All,2018,51,0
SFTS,All,2018,52,0
SFTS,All,2019,1,0
SFTS,All,2019,2,0
SFTS,All,2019,3,0
SFTS,All,2019,4,0
SFTS,All,2019,5,0
SFTS,All,2019,6,0
SFTS,All,2019,7,0
SFTS,All,2019,8,0
SFTS,All,2019,9,0
SFTS,All,2019,10,0
SFTS,All,2019,11,0
SFTS,All,2019,12,0
SFTS,All,2019,13,0
SFTS,All,2019,14,0
SFTS,All,2019,15,0
SFTS,All,2019,16,0
SFTS,All,2019,17,0
SFTS,All,2019,18,3
SFTS,All,2019,19,1
SFTS,All,2019,20,4
SFTS,All,2019,21,1
SFTS,All,2019,22,4
SFTS,All,2019,23,7
SFTS,All,2019,24,6
SFTS,All,2019,25,9
SFTS,All,2019,26,10
SFTS,All,2019,27,8
SFTS,All,2019,28,12
SFTS,All,2019,29,9
SFTS,All,2019,30,11
SFTS,All,2019,31,11
SFTS,All,2019,32,11
SFTS,All,2019,33,11
SFTS,All,2019,34,6
SFTS,All,2019,35,13
SFTS,All,2019,36,7
SFTS,All,2019,37,3
SFTS,All,2019,38,5
SFTS,All,2019,39,16
SFTS,All,2019,40,9
SFTS,All,2019,41,18
SFTS,All,2019,42,12
SFTS,All,2019,43,14
SFTS,All,2019,44,2
SFTS,All,2019,45,0
SFTS,All,2019,46,0
SFTS,All,2019,47,0
SFTS,All,2019,48,0
SFTS,All,2019,49,0
SFTS,All,2019,50,0
SFTS,All,2019,51,0
SFTS,All,2019,52,0
SFTS,All,2020,1,0
SFTS,All,2020,2,0
SFTS,All,2020,3,0
SFTS,All,2020,4,0
SFTS,All,2020,5,0
SFTS,All,2020,6,0
SFTS,All,2020,7,0
SFTS,All,2020,8,0
SFTS,All,2020,9,0
SFTS,All,2020,10,0
SFTS,All,2020,11,0
SFTS,All,2020,12,0
SFTS,All,2020,13,0
SFTS,All,2020,14,0
SFTS,All,2020,15,0
SFTS,All,2020,16,0
SFTS,All,2020,17,1
SFTS,All,2020,18,0
SFTS,All,2020,19,3
SFTS,All,2020,20,2
SFTS,All,2020,21,8
SFTS,All,2020,22,5
SFTS,All,2020,23,7
SFTS,All,2020,24,4
SFTS,All,2020,25,12
SFTS,All,2020,26,12
SFTS,All,2020,27,7
SFTS,All,2020,28,13
SFTS,All,2020,29,9
SFTS,All,2020,30,5
SFTS,All,2020,31,9
SFTS,All,2020,32,12
SFTS,All,2020,33,19
SFTS,All,2020,34,8
SFTS,All,2020,35,11
SFTS,All,2020,36,7
SFTS,All,2020,37,5
SFTS,All,2020,38,4
SFTS,All,2020,39,10
SFTS,All,2020,40,9
SFTS,All,2020,41,22
SFTS,All,2020,42,22
SFTS,All,2020,43,8
SFTS,All,2020,44,3
SFTS,All,2020,45,4
SFTS,All,2020,46,1
SFTS,All,2020,47,0
SFTS,All,2020,48,1
SFTS,All,2020,49,0
SFTS,All,2020,50,0
SFTS,All,2020,51,0
SFTS,All,2020,52,0
SFTS,All,2021,1,0
SFTS,All,2021,2,0
