disease,city,year,week,cases
SFTS,Busan,2017,1,0
SFTS,Busan,2017,2,0
SFTS,Busan,2017,3,0
SFTS,Busan,2017,4,0
SFTS,Busan,2017,5,0
SFTS,Busan,2017,6,0
SFTS,Busan,2017,7,0
SFTS,Busan,2017,8,0
SFTS,Busan,2017,9,0
SFTS,Busan,2017,10,0
SFTS,Busan,2017,11,0
SFTS,Busan,2017,12,0
SFTS,Busan,2017,13,0
SFTS,Busan,2017,14,0
SFTS,Busan,2017,15,0
SFTS,Busan,2017,16,0
SFTS,Busan,2017,17,0
SFTS,Busan,2017,18,0
SFTS,Busan,2017,19,0
SFTS,Busan,2017,20,0
SFTS,Busan,2017,21,0
SFTS,Busan,2017,22,0
SFTS,Busan,2017,23,0
SFTS,Busan,2017,24,0
SFTS,Busan,2017,25,1
SFTS,Busan,2017,26,0
SFTS,Busan,2017,27,0
SFTS,Busan,2017,28,0
SFTS,Busan,2017,29,0
SFTS,Busan,2017,30,0
SFTS,Busan,2017,31,0
SFTS,Busan,2017,32,0
SFTS,Busan,2017,33,0
SFTS,Busan,2017,34,0
SFTS,Busan,2017,35,0
SFTS,Busan,2017,36,0
SFTS,Busan,2017,37,0
SFTS,Busan,2017,38,1
SFTS,Busan,2017,39,0
SFTS,Busan,2017,40,0
SFTS,Busan,2017,41,0
SFTS,Busan,2017,42,1
SFTS,Busan,2017,43,0
SFTS,Busan,2017,44,0
SFTS,Busan,2017,45,0
SFTS,Busan,2017,46,0
SFTS,Busan,2017,47,0
SFTS,Busan,2017,48,0
SFTS,Busan,2017,49,0
SFTS,Busan,2017,50,0
SFTS,Busan,2017,51,0
SFTS,Busan,2017,52,0
SFTS,Busan,2018,1,0
SFTS,Busan,2018,2,0
SFTS,Busan,2018,3,0
SFTS,Busan,2018,4,0
SFTS,Busan,2018,5,0
SFTS,Busan,2018,6,0
SFTS,Busan,2018,7,0
SFTS,Busan,2018,8,0
SFTS,Busan,2018,9,0
SFTS,Busan,2018,10,0
SFTS,Busan,2018,11,0
SFTS,Busan,2018,12,0
SFTS,Busan,2018,13,0
SFTS,Busan,2018,14,0
SFTS,Busan,2018,15,0
SFTS,Busan,2018,16,0
SFTS,Busan,2018,17,0
SFTS,Busan,2018,18,0
SFTS,Busan,2018,19,0
SFTS,Busan,2018,20,1
SFTS,Busan,2018,21,0
SFTS,Busan,2018,22,0
SFTS,Busan,2018,23,0
