disease,year,week,cases
hand-food-and mouth disease,2017,1,1
hand-food-and mouth disease,2017,2,1
hand-food-and mouth disease,2017,3,1
hand-food-and mouth disease,2017,4,0
hand-food-and mouth disease,2017,5,0
hand-food-and mouth disease,2017,6,1
hand-food-and mouth disease,2017,7,1
hand-food-and mouth disease,2017,8,0
hand-food-and mouth disease,2017,9,1
hand-food-and mouth disease,2017,10,1
hand-food-and mouth disease,2017,11,0
hand-food-and mouth disease,2017,12,0
hand-food-and mouth disease,2017,13,0
hand-food-and mouth disease,2017,14,1
hand-food-and mouth disease,2017,15,1
hand-food-and mouth disease,2017,16,1
hand-food-and mouth disease,2017,17,1
hand-food-and mouth disease,2017,18,1
hand-food-and mouth disease,2017,19,2
hand-food-and mouth disease,2017,20,3
hand-food-and mouth disease,2017,21,4
hand-food-and mouth disease,2017,22,6
hand-food-and mouth disease,2017,23,7
hand-food-and mouth disease,2017,24,10
hand-food-and mouth disease,2017,25,14
hand-food-and mouth disease,2017,26,16
hand-food-and mouth disease,2017,27,20
hand-food-and mouth disease,2017,28,23
hand-food-and mouth disease,2017,29,28
hand-food-and mouth disease,2017,30,26
hand-food-and mouth disease,2017,31,17
hand-food-and mouth disease,2017,32,17
hand-food-and mouth disease,2017,33,17
hand-food-and mouth disease,2017,34,15
hand-food-and mouth disease,2017,35,13
hand-food-and mouth disease,2017,36,10
hand-food-and mouth disease,2017,37,9
hand-food-and mouth disease,2017,38,8
hand-food-and mouth disease,2017,39,7
hand-food-and mouth disease,2017,40,6
hand-food-and mouth disease,2017,41,3
hand-food-and mouth disease,2017,42,3
hand-food-and mouth disease,2017,43,2
hand-food-and mouth disease,2017,44,2
hand-food-and mouth disease,2017,45,2
hand-food-and mouth disease,2017,46,2
hand-food-and mouth disease,2017,47,2
hand-food-and mouth disease,2017,48,1
hand-food-and mouth disease,2017,49,1
hand-food-and mouth disease,2017,50,1
hand-food-and mouth disease,2017,51,1
hand-food-and mouth disease,2017,52,0
hand-food-and mouth disease,2018,1,1
hand-food-and mouth disease,2018,2,0
hand-food-and mouth disease,2018,3,0
hand-food-and mouth disease,2018,4,1
hand-food-and mouth disease,2018,5,1
hand-food-and mouth disease,2018,6,0
hand-food-and mouth disease,2018,7,0
hand-food-and mouth disease,2018,8,0
hand-food-and mouth disease,2018,9,0
hand-food-and mouth disease,2018,10,0
hand-food-and mouth disease,2018,11,0
