disease,city,year,week,cases
COVID-19,Busan,2020,4,0
COVID-19,Busan,2020,5,0
COVID-19,Busan,2020,6,0
COVID-19,Busan,2020,7,0
COVID-19,Busan,2020,8,9
COVID-19,Busan,2020,9,70
COVID-19,Busan,2020,10,16
COVID-19,Busan,2020,11,11
COVID-19,Busan,2020,12,2
COVID-19,Busan,2020,13,9
COVID-19,Busan,2020,14,5
COVID-19,Busan,2020,15,4
COVID-19,Busan,2020,16,4
COVID-19,Busan,2020,17,7
COVID-19,Busan,2020,18,1
COVID-19,Busan,2020,19,3
COVID-19,Busan,2020,20,3
COVID-19,Busan,2020,21,0
COVID-19,Busan,2020,22,3
COVID-19,Busan,2020,23,0
COVID-19,Busan,2020,24,0
COVID-19,Busan,2020,25,3
COVID-19,Busan,2020,26,2
COVID-19,Busan,2020,27,3
COVID-19,Busan,2020,28,1
COVID-19,Busan,2020,29,1
COVID-19,Busan,2020,30,10
COVID-19,Busan,2020,31,6
COVID-19,Busan,2020,32,4
COVID-19,Busan,2020,33,31
COVID-19,Busan,2020,34,51
COVID-19,Busan,2020,35,38
COVID-19,Busan,2020,36,34
COVID-19,Busan,2020,37,23
COVID-19,Busan,2020,38,23
COVID-19,Busan,2020,39,35
COVID-19,Busan,2020,40,46
COVID-19,Busan,2020,41,26
COVID-19,Busan,2020,42,72
COVID-19,Busan,2020,43,33
COVID-19,Busan,2020,44,3
COVID-19,Busan,2020,45,8
COVID-19,Busan,2020,46,12
COVID-19,Busan,2020,47,20
COVID-19,Busan,2020,48,125
COVID-19,Busan,2020,49,224
COVID-19,Busan,2020,50,253
COVID-19,Busan,2020,51,258
COVID-19,Busan,2020,52,211
COVID-19,Busan,2020,53,164
COVID-19,Busan,2021,1,188
COVID-19,Busan,2021,2,257
COVID-19,Busan,2021,3,135
COVID-19,Busan,2021,4,207
COVID-19,Busan,2021,5,128
COVID-19,Busan,2021,6,135
COVID-19,Busan,2021,7,123
COVID-19,Busan,2021,8,80
COVID-19,Busan,2021,9,97
COVID-19,Busan,2021,10,97
COVID-19,Busan,2021,11,64
COVID-19,Busan,2021,12,171
COVID-19,Busan,2021,13,368
COVID-19,Busan,2021,14,326
COVID-19,Busan,2021,15,299
COVID-19,Busan,2021,16,245
COVID-19,Busan,2021,17,222
COVID-19,Busan,2021,18,141
COVID-19,Busan,2021,19,161
COVID-19,Busan,2021,20,127
COVID-19,Busan,2021,21,111
COVID-19,Busan,2021,22,150
COVID-19,Busan,2021,23,125
COVID-19,Busan,2021,24,108
COVID-19,Busan,2021,25,126
COVID-19,Busan,2021,26,175
COVID-19,Busan,2021,27,318
COVID-19,Busan,2021,28,404
COVID-19,Busan,2021,29,660
COVID-19,Busan,2021,30,547
COVID-19,Busan,2021,31,764
COVID-19,Busan,2021,32,975
COVID-19,Busan,2021,33,786
COVID-19,Busan,2021,34,496
COVID-19,Busan,2021,35,389
COVID-19,Busan,2021,36,269
COVID-19,Busan,2021,37,324
COVID-19,Busan,2021,38,281
COVID-19,Busan,2021,39,294
COVID-19,Busan,2021,40,266
COVID-19,Busan,2021,41,251
COVID-19,Busan,2021,42,254
COVID-19,Busan,2021,43,298
COVID-19,Busan,2021,44,377
COVID-19,Busan,2021,45,432
COVID-19,Busan,2021,46,597
COVID-19,Busan,2021,47,714
COVID-19,Busan,2021,48,1073
COVID-19,Busan,2021,49,1808
COVID-19,Busan,2021,50,2249
COVID-19,Busan,2021,51,2594
COVID-19,Busan,2021,52,1319
COVID-19,Busan,2021,53,102
COVID-19,Busan,2022,1,1773
COVID-19,Busan,2022,2,1021
COVID-19,Busan,2022,3,1368
COVID-19,Busan,2022,4,4425
COVID-19,Busan,2022,5,10115
COVID-19,Busan,2022,6,19012
COVID-19,Busan,2022,7,39360
COVID-19,Busan,2022,8,77741
COVID-19,Busan,2022,9,125395
COVID-19,Busan,2022,10,196783
COVID-19,Busan,2022,11,206355
COVID-19,Busan,2022,12,125911
COVID-19,Busan,2022,13,87747
COVID-19,Busan,2022,14,55731
COVID-19,Busan,2022,15,35736
COVID-19,Busan,2022,16,22935
COVID-19,Busan,2022,17,16452
COVID-19,Busan,2022,18,12718
COVID-19,Busan,2022,19,11391
COVID-19,Busan,2022,20,8170
COVID-19,Busan,2022,21,5840
COVID-19,Busan,2022,22,3898
COVID-19,Busan,2022,23,3345
COVID-19,Busan,2022,24,3083
COVID-19,Busan,2022,25,2869
COVID-19,Busan,2022,26,3757
COVID-19,Busan,2022,27,7581
COVID-19,Busan,2022,28,15869
COVID-19,Busan,2022,29,25941
COVID-19,Busan,2022,30,30661
COVID-19,Busan,2022,31,40925
COVID-19,Busan,2022,32,51759
COVID-19,Busan,2022,33,55892
COVID-19,Busan,2022,34,46540
COVID-19,Busan,2022,35,32557
COVID-19,Busan,2022,36,20863
COVID-19,Busan,2022,37,19240
COVID-19,Busan,2022,38,10049
COVID-19,Busan,2022,39,8997
COVID-19,Busan,2022,40,7121
COVID-19,Busan,2022,41,7288
COVID-19,Busan,2022,42,8313
COVID-19,Busan,2022,43,11523
COVID-19,Busan,2022,44,14056
COVID-19,Busan,2022,45,16721
COVID-19,Busan,2022,46,19773
COVID-19,Busan,2022,47,21479
COVID-19,Busan,2022,48,20815
COVID-19,Busan,2022,49,24647
COVID-19,Busan,2022,50,29811
COVID-19,Busan,2022,51,31864
COVID-19,Busan,2022,52,28318
COVID-19,Busan,2023,1,32352
COVID-19,Busan,2023,2,19524
COVID-19,Busan,2023,3,12675
COVID-19,Busan,2023,4,10546
COVID-19,Busan,2023,5,7929
COVID-19,Busan,2023,6,7092
COVID-19,Busan,2023,7,5534
COVID-19,Busan,2023,8,4287
COVID-19,Busan,2023,9,3889
COVID-19,Busan,2023,10,3568
COVID-19,Busan,2023,11,2715
COVID-19,Busan,2023,12,2276
COVID-19,Busan,2023,13,2042
COVID-19,Busan,2023,14,2106
COVID-19,Busan,2023,15,2256
COVID-19,Busan,2023,16,2533
COVID-19,Busan,2023,17,3263
COVID-19,Busan,2023,18,4359
COVID-19,Busan,2023,19,5880
COVID-19,Busan,2023,20,6720
COVID-19,Busan,2023,21,7143
COVID-19,Busan,2023,22,8745
COVID-19,Busan,2023,23,9616
COVID-19,Busan,2023,24,10159
COVID-19,Busan,2023,25,10314
COVID-19,Busan,2023,26,11547
COVID-19,Busan,2023,27,15307
COVID-19,Busan,2023,28,18672
COVID-19,Busan,2023,29,24825
COVID-19,Busan,2023,30,29205
COVID-19,Busan,2023,31,29299
COVID-19,Busan,2023,32,24314
COVID-19,Busan,2023,33,15883
COVID-19,Busan,2023,34,12871
COVID-19,Busan,2023,35,6588
COVID-19,Chungbuk,2020,4,0
COVID-19,Chungbuk,2020,5,0
COVID-19,Chungbuk,2020,6,0
COVID-19,Chungbuk,2020,7,0
COVID-19,Chungbuk,2020,8,3
COVID-19,Chungbuk,2020,9,8
COVID-19,Chungbuk,2020,10,13
COVID-19,Chungbuk,2020,11,7
COVID-19,Chungbuk,2020,12,4
COVID-19,Chungbuk,2020,13,6
COVID-19,Chungbuk,2020,14,4
COVID-19,Chungbuk,2020,15,0
COVID-19,Chungbuk,2020,16,0
COVID-19,Chungbuk,2020,17,0
COVID-19,Chungbuk,2020,18,0
COVID-19,Chungbuk,2020,19,4
COVID-19,Chungbuk,2020,20,7
COVID-19,Chungbuk,2020,21,3
COVID-19,Chungbuk,2020,22,1
COVID-19,Chungbuk,2020,23,1
COVID-19,Chungbuk,2020,24,0
