city,year,week,highest_temp,lowest_temp,avg_temp,highest_humidity,lowest_humidity,avg_humidity
Busan,2017,1,14.8,2.4,8.1,88.0,22.0,58.9
Busan,2017,2,10.9,-7.7,2.0,73.0,17.0,39.9
Busan,2017,3,10.0,-3.8,3.0,63.0,25.0,42.3
Busan,2017,3,4.7,-3.4,0.9,69.0,26.0,45.6
Busan,2017,4,12.1,-6.2,3.2,95.0,14.0,39.0
Busan,2017,5,8.6,-2.1,3.4,94.0,24.0,52.9
Busan,2017,5,14.8,-2.4,5.7,95.0,15.0,39.8
Busan,2017,6,9.6,-5.7,2.3,68.0,22.0,40.3
Busan,2017,6,7.8,-2.5,1.8,53.0,24.0,38.9
Busan,2017,7,17.2,-1.0,7.2,91.0,16.0,42.3
Busan,2017,8,14.2,-1.5,6.3,95.0,17.0,50.9
Busan,2017,9,13.4,4.4,7.9,73.0,37.0,59.5
Busan,2017,9,14.2,0.7,7.6,90.0,27.0,49.3
Busan,2017,9,14.4,7.4,10.4,64.0,33.0,51.8
Busan,2017,10,15.7,-2.2,7.1,66.0,18.0,37.1
Busan,2017,11,17.0,3.5,10.1,74.0,25.0,50.6
Busan,2017,12,16.7,4.7,10.0,94.0,32.0,60.2
Busan,2017,12,12.6,4.5,8.1,92.0,50.0,76.3
Busan,2017,13,17.4,3.8,9.4,91.0,31.0,64.2
Busan,2017,13,13.6,5.2,9.0,86.0,31.0,70.2
Busan,2017,14,22.3,7.0,15.1,97.0,18.0,64.7
Busan,2017,15,21.3,9.0,14.8,95.0,29.0,64.3
Busan,2017,16,20.2,10.7,15.4,98.0,29.0,62.9
Busan,2017,16,17.6,10.0,14.1,81.0,51.0,64.9
Busan,2017,17,22.8,10.8,16.4,93.0,26.0,59.2
Busan,2017,18,26.3,13.0,18.4,97.0,19.0,57.8
Busan,2017,19,25.6,13.8,17.7,96.0,25.0,73.4
Busan,2017,19,23.1,14.4,18.2,94.0,26.0,64.1
Busan,2017,20,27.7,13.7,19.7,83.0,26.0,54.9
Busan,2017,21,26.8,13.4,19.3,91.0,36.0,67.1
Busan,2017,22,25.5,17.4,21.0,87.0,41.0,67.7
Busan,2017,22,24.5,15.5,20.2,94.0,64.0,77.5
Busan,2017,22,25.0,15.8,19.7,73.0,36.0,58.3
Busan,2017,23,26.7,16.6,20.3,97.0,35.0,63.1
Busan,2017,24,30.2,16.1,20.5,85.0,30.0,67.0
Busan,2017,25,26.7,18.7,22.0,95.0,54.0,76.9
Busan,2017,25,26.8,20.6,23.2,89.0,56.0,74.7
Busan,2017,26,27.8,20.7,22.7,96.0,59.0,79.7
Busan,2017,26,27.8,23.3,25.1,96.0,72.0,86.1
Busan,2017,27,28.1,21.2,24.7,97.0,76.0,89.1
Busan,2017,28,30.4,22.4,25.9,97.0,66.0,83.6
Busan,2017,29,30.8,23.7,27.1,96.0,62.0,81.0
Busan,2017,29,32.4,24.4,27.7,95.0,63.0,79.3
Busan,2017,30,30.6,22.2,26.3,95.0,44.0,74.7
Busan,2017,31,30.1,25.3,27.3,94.0,67.0,80.0
Busan,2017,31,36.1,23.9,29.0,94.0,39.0,70.3
Busan,2017,32,34.4,24.9,28.6,95.0,50.0,73.9
Busan,2017,32,30.0,23.0,25.8,80.0,57.0,69.8
Busan,2017,33,28.6,21.9,25.6,96.0,72.0,83.8
Busan,2017,34,32.6,21.9,27.3,95.0,32.0,73.1
Busan,2017,35,29.4,18.9,24.8,84.0,39.0,63.8
Busan,2017,35,27.1,21.2,22.4,71.0,41.0,60.6
Busan,2017,35,28.4,19.2,23.0,71.0,41.0,58.8
Busan,2017,36,29.4,18.8,23.5,97.0,50.0,76.7
Busan,2017,37,28.4,19.4,22.8,97.0,37.0,70.5
Busan,2017,38,26.6,18.2,22.3,87.0,35.0,67.1
Busan,2017,38,27.6,18.8,22.5,84.0,41.0,68.1
Busan,2017,39,27.8,14.8,21.4,97.0,31.0,67.7
Busan,2017,39,23.0,16.8,20.4,84.0,44.0,62.7
Busan,2017,40,26.2,16.5,20.2,97.0,53.0,78.3
Busan,2017,41,27.6,12.8,19.3,97.0,48.0,74.5
Busan,2017,42,22.6,15.5,17.8,77.0,44.0,64.7
Busan,2017,42,21.7,16.1,18.3,69.0,46.0,59.7
