city,year,week,highest_temp,lowest_temp,avg_temp,highest_humidity,lowest_humidity,avg_humidity
Daegu,2017,1,12.6,-2.3,4.6,96.0,23.0,70.1
Daegu,2017,2,8.9,-8.0,0.2,81.0,15.0,41.4
Daegu,2017,3,8.1,-7.7,-0.2,87.0,23.0,53.6
Daegu,2017,3,0.4,-5.2,-2.2,93.0,35.0,56.3
Daegu,2017,4,9.5,-8.8,-0.1,78.0,13.0,39.8
Daegu,2017,5,6.0,-7.0,0.4,87.0,13.0,45.8
Daegu,2017,5,12.7,-3.3,3.7,92.0,10.0,40.0
Daegu,2017,6,7.7,-6.2,0.2,73.0,21.0,43.3
Daegu,2017,6,6.0,-4.6,0.4,71.0,20.0,41.5
Daegu,2017,7,16.2,-4.5,4.6,95.0,13.0,44.0
Daegu,2017,8,10.9,-4.5,3.5,96.0,13.0,52.9
Daegu,2017,9,13.6,-0.4,6.2,90.0,18.0,60.8
Daegu,2017,9,13.1,0.0,6.0,92.0,18.0,49.7
Daegu,2017,9,15.4,1.5,9.3,83.0,12.0,42.4
Daegu,2017,10,18.3,-2.3,5.7,73.0,10.0,35.4
Daegu,2017,11,18.4,0.5,9.1,91.0,13.0,43.5
Daegu,2017,12,16.1,0.9,9.2,94.0,12.0,55.7
Daegu,2017,12,10.6,4.1,6.4,94.0,54.0,83.7
Daegu,2017,13,19.9,0.7,9.1,94.0,17.0,62.6
Daegu,2017,13,15.8,2.2,8.3,98.0,18.0,70.5
Daegu,2017,14,26.4,5.7,15.5,98.0,16.0,57.3
Daegu,2017,15,28.8,6.2,16.0,98.0,13.0,45.2
Daegu,2017,16,23.9,9.0,14.8,98.0,25.0,59.1
Daegu,2017,16,23.6,7.6,14.8,97.0,21.0,60.8
Daegu,2017,17,30.5,7.4,18.4,95.0,14.0,41.6
Daegu,2017,18,28.2,8.6,19.3,98.0,15.0,46.5
Daegu,2017,19,27.4,11.6,18.1,98.0,20.0,68.5
Daegu,2017,19,27.2,12.9,19.8,98.0,19.0,54.3
Daegu,2017,20,31.4,12.7,21.9,93.0,20.0,44.2
Daegu,2017,21,31.2,11.7,21.2,93.0,16.0,57.0
Daegu,2017,22,35.1,19.0,26.1,75.0,23.0,45.8
Daegu,2017,22,31.3,14.6,22.0,89.0,25.0,66.8
Daegu,2017,22,28.4,12.3,21.1,88.0,16.0,46.5
Daegu,2017,23,31.6,13.6,21.5,95.0,22.0,56.6
Daegu,2017,24,35.3,15.4,22.8,98.0,22.0,58.8
Daegu,2017,25,35.4,18.8,25.7,98.0,24.0,58.9
Daegu,2017,25,32.9,19.9,25.9,98.0,28.0,58.6
Daegu,2017,26,32.1,19.9,24.1,98.0,37.0,73.6
Daegu,2017,26,30.4,24.2,27.3,89.0,58.0,75.7
