city,year,week,highest_temp,lowest_temp,avg_temp,highest_humidity,lowest_humidity,avg_humidity
Daejeon,2017,1,14.7,-1.5,4.9,96.0,38.0,73.8
Daejeon,2017,2,8.0,-11.7,-1.9,88.0,25.0,60.6
Daejeon,2017,3,5.5,-10.0,-2.2,96.0,22.0,66.9
Daejeon,2017,3,-0.6,-7.1,-3.8,94.0,50.0,72.7
Daejeon,2017,4,7.8,-10.6,-2.1,94.0,24.0,64.8
Daejeon,2017,5,1.2,-8.9,-3.0,95.0,36.0,67.6
Daejeon,2017,5,8.3,-8.7,0.7,91.0,21.0,61.3
Daejeon,2017,6,5.2,-7.0,-1.8,86.0,33.0,59.6
Daejeon,2017,6,5.5,-5.0,-0.4,76.0,33.0,55.4
Daejeon,2017,7,15.1,-6.1,2.5,97.0,20.0,62.1
Daejeon,2017,8,10.4,-6.8,2.0,97.0,21.0,62.5
Daejeon,2017,9,13.4,-2.7,4.6,82.0,26.0,51.5
Daejeon,2017,9,12.4,-3.4,4.1,93.0,27.0,59.9
Daejeon,2017,9,14.5,0.1,7.6,75.0,19.0,48.1
Daejeon,2017,10,16.8,-3.6,4.2,90.0,16.0,51.2
Daejeon,2017,11,19.2,-1.7,7.4,84.0,14.0,46.0
Daejeon,2017,12,16.6,0.0,8.5,87.0,20.0,49.5
Daejeon,2017,12,10.2,4.7,7.5,90.0,48.0,73.6
Daejeon,2017,13,19.4,1.0,8.6,93.0,24.0,60.7
Daejeon,2017,13,16.6,2.0,9.2,93.0,20.0,62.4
Daejeon,2017,14,24.4,3.7,14.2,97.0,20.0,62.7
Daejeon,2017,15,28.2,6.0,15.2,95.0,13.0,48.4
Daejeon,2017,16,21.1,5.8,13.0,97.0,28.0,69.6
Daejeon,2017,16,22.8,6.7,14.6,87.0,26.0,53.4
Daejeon,2017,17,27.4,6.3,16.4,91.0,14.0,50.6
Daejeon,2017,18,29.6,10.9,19.9,93.0,13.0,51.1
