city,year,week,highest_temp,lowest_temp,avg_temp,highest_humidity,lowest_humidity,avg_humidity
Incheon,2017,1,10.3,-0.2,5.1,92.0,40.0,69.1
Incheon,2017,2,4.4,-8.7,-2.8,91.0,28.0,48.8
Incheon,2017,3,3.7,-7.4,-1.8,96.0,31.0,62.9
Incheon,2017,3,-0.5,-8.7,-6.1,91.0,47.0,57.6
Incheon,2017,4,5.1,-10.9,-3.1,98.0,28.0,57.8
Incheon,2017,5,-0.5,-8.5,-4.8,89.0,34.0,54.2
Incheon,2017,5,5.8,-7.0,0.3,98.0,31.0,66.5
Incheon,2017,6,1.2,-7.7,-3.1,66.0,39.0,50.7
Incheon,2017,6,2.7,-5.0,-1.2,67.0,38.0,54.6
Incheon,2017,7,10.1,-5.3,1.6,100.0,28.0,62.0
Incheon,2017,8,7.5,-6.1,0.5,99.0,27.0,61.9
Incheon,2017,9,10.0,0.0,4.3,74.0,29.0,44.7
Incheon,2017,9,10.6,-0.8,3.5,98.0,26.0,66.6
Incheon,2017,9,9.7,1.9,5.5,97.0,44.0,76.4
Incheon,2017,10,12.2,-3.4,3.2,90.0,26.0,55.5
Incheon,2017,11,15.4,0.9,6.5,96.0,23.0,54.3
Incheon,2017,12,13.0,2.8,7.7,91.0,26.0,53.2
Incheon,2017,12,9.7,4.5,6.6,91.0,39.0,69.7
Incheon,2017,13,14.2,4.2,7.4,95.0,36.0,71.5
Incheon,2017,13,12.8,4.5,8.3,91.0,45.0,66.3
Incheon,2017,14,18.8,6.1,11.0,100.0,34.0,74.8
Incheon,2017,15,20.3,7.2,13.1,99.0,12.0,56.9
Incheon,2017,16,16.4,8.1,12.3,97.0,34.0,67.5
Incheon,2017,16,18.8,8.6,13.0,93.0,26.0,59.1
Incheon,2017,17,21.9,9.3,14.2,92.0,20.0,60.2
Incheon,2017,18,26.6,10.8,17.1,99.0,22.0,58.5
Incheon,2017,19,21.9,12.3,16.4,99.0,46.0,73.5
Incheon,2017,19,21.2,12.0,15.4,93.0,43.0,74.4
Incheon,2017,20,23.6,12.7,17.5,98.0,36.0,64.8
Incheon,2017,21,24.4,12.7,18.6,97.0,25.0,62.7
Incheon,2017,22,25.3,15.8,20.2,97.0,33.0,72.4
Incheon,2017,22,24.9,16.4,20.5,94.0,28.0,62.9
Incheon,2017,22,24.2,16.0,20.0,77.0,32.0,51.0
Incheon,2017,23,27.3,14.9,19.8,98.0,22.0,66.6
Incheon,2017,24,26.9,17.4,21.1,96.0,37.0,71.7
Incheon,2017,25,28.1,18.8,22.8,97.0,41.0,70.8
Incheon,2017,25,29.1,20.4,23.8,86.0,44.0,65.0
Incheon,2017,26,28.6,21.0,23.9,94.0,50.0,76.7
Incheon,2017,26,28.1,21.8,23.9,98.0,57.0,90.1
Incheon,2017,27,30.4,22.1,25.4,98.0,59.0,86.6
Incheon,2017,28,30.3,22.1,25.1,99.0,63.0,88.8
Incheon,2017,29,31.8,23.6,26.7,98.0,62.0,84.3
Incheon,2017,29,29.7,25.1,26.9,98.0,77.0,92.2
Incheon,2017,30,32.3,24.0,26.7,98.0,53.0,80.1
Incheon,2017,31,26.0,24.5,25.1,97.0,85.0,92.2
Incheon,2017,31,33.5,23.8,29.3,96.0,46.0,72.3
Incheon,2017,32,30.4,24.2,26.8,97.0,49.0,79.0
Incheon,2017,32,30.1,24.3,26.7,87.0,56.0,69.1
Incheon,2017,33,28.1,21.0,24.1,98.0,60.0,85.1
Incheon,2017,34,29.3,20.3,25.1,97.0,35.0,77.3
Incheon,2017,35,25.9,16.5,20.4,97.0,31.0,66.2
Incheon,2017,35,24.9,18.5,21.0,79.0,42.0,62.9
Incheon,2017,35,26.7,19.1,23.4,85.0,51.0,67.4
Incheon,2017,36,27.7,18.4,22.8,97.0,36.0,74.8
Incheon,2017,37,26.6,17.0,22.1,97.0,35.0,58.2
Incheon,2017,38,25.3,16.1,20.9,93.0,41.0,68.6
Incheon,2017,38,25.7,18.9,22.1,95.0,45.0,77.8
Incheon,2017,39,28.5,13.0,20.8,87.0,31.0,61.1
Incheon,2017,39,20.1,15.4,17.9,94.0,54.0,77.2
Incheon,2017,40,26.0,10.8,18.5,98.0,40.0,63.6
Incheon,2017,41,23.7,7.5,15.7,98.0,27.0,66.8
Incheon,2017,42,21.5,9.7,16.0,90.0,32.0,60.2
Incheon,2017,42,22.0,11.8,16.2,76.0,38.0,56.6
Incheon,2017,43,20.7,7.2,14.3,89.0,29.0,62.7
Incheon,2017,44,15.3,3.3,9.0,82.0,24.0,46.1
Incheon,2017,44,18.1,3.9,11.7,95.0,37.0,69.6
Incheon,2017,45,18.7,4.7,11.2,96.0,36.0,61.2
Incheon,2017,45,9.6,2.1,6.1,74.0,43.0,59.2
Incheon,2017,46,13.2,-5.1,3.5,88.0,26.0,48.0
Incheon,2017,47,10.6,-2.5,2.4,99.0,33.0,65.8
Incheon,2017,48,10.0,-4.7,1.9,94.0,20.0,53.6
Incheon,2017,48,5.3,-6.1,-1.4,96.0,27.0,63.7
Incheon,2017,48,9.8,3.9,6.1,97.0,51.0,74.1
Incheon,2017,49,8.2,-6.5,-0.3,98.0,31.0,60.2
Incheon,2017,50,1.1,-11.0,-6.1,77.0,30.0,48.2
Incheon,2017,51,7.2,-7.2,-0.2,95.0,32.0,71.4
Incheon,2017,51,9.0,0.5,4.8,98.0,61.0,85.6
Incheon,2017,52,4.9,-8.8,-1.6,98.0,22.0,57.2
Incheon,2018,1,2.5,-7.6,-2.5,81.0,26.0,50.7
Incheon,2018,1,-6.5,-7.2,-6.8,52.0,50.0,51.0
Incheon,2018,2,4.9,-14.2,-4.7,95.0,39.0,62.6
Incheon,2018,3,6.9,-3.2,2.1,95.0,25.0,66.5
Incheon,2018,3,0.6,0.2,0.4,35.0,31.0,33.3
Incheon,2018,4,4.6,-17.1,-9.7,94.0,26.0,44.2
Incheon,2018,5,0.5,-10.0,-6.1,94.0,30.0,54.2
Incheon,2018,5,2.0,-11.7,-5.5,92.0,30.0,50.9
Incheon,2018,6,5.5,-11.8,-5.2,93.0,25.0,52.0
Incheon,2018,7,7.0,-8.2,-1.5,87.0,19.0,47.3
Incheon,2018,8,4.7,-3.9,0.4,92.0,19.0,50.0
Incheon,2018,8,7.3,-2.2,1.7,95.0,28.0,66.0
Incheon,2018,9,6.1,-2.4,2.7,78.0,27.0,56.2
Incheon,2018,9,13.5,-5.5,3.5,98.0,13.0,59.9
Incheon,2018,10,10.6,-0.5,4.4,97.0,34.0,72.8
Incheon,2018,11,18.8,0.6,9.1,99.0,35.0,69.0
Incheon,2018,12,10.7,1.3,5.5,96.0,35.0,58.1
Incheon,2018,12,9.0,1.2,4.9,99.0,40.0,79.6
Incheon,2018,13,17.9,4.0,11.2,99.0,34.0,78.7
Incheon,2018,13,16.5,11.2,13.8,96.0,54.0,79.1
Incheon,2018,14,21.3,2.3,9.8,99.0,27.0,73.5
Incheon,2018,15,19.4,0.5,10.8,99.0,14.0,60.0
Incheon,2018,16,21.9,6.4,12.7,83.0,19.0,49.5
Incheon,2018,16,19.0,11.5,15.6,95.0,45.0,66.1
Incheon,2018,17,21.3,8.2,12.8,97.0,27.0,66.1
Incheon,2018,18,21.8,12.2,17.0,95.0,62.0,76.8
Incheon,2018,18,21.3,8.6,15.3,99.0,34.0,73.4
Incheon,2018,19,23.1,10.1,15.3,99.0,40.0,71.8
Incheon,2018,19,15.7,10.8,13.7,99.0,76.0,93.3
Incheon,2018,20,27.8,10.4,18.6,99.0,23.0,73.4
Incheon,2018,21,25.4,12.3,17.6,99.0,28.0,61.0
Incheon,2018,22,25.3,14.7,19.2,99.0,46.0,75.6
Incheon,2018,22,27.0,15.9,20.2,89.0,42.0,65.4
Incheon,2018,22,28.1,16.4,22.0,83.0,27.0,55.1
Incheon,2018,23,27.8,17.1,20.6,99.0,39.0,75.0
Incheon,2018,24,25.9,16.9,20.5,99.0,49.0,73.8
Incheon,2018,25,27.8,17.9,21.4,98.0,34.0,75.9
Incheon,2018,25,26.5,18.5,22.5,98.0,47.0,78.3
Incheon,2018,26,28.9,18.6,22.2,98.0,41.0,88.0
Incheon,2018,26,23.8,21.2,22.1,98.0,83.0,94.7
Incheon,2018,27,30.8,19.0,24.4,98.0,44.0,73.6
Incheon,2018,28,30.5,20.3,25.0,98.0,60.0,86.8
Incheon,2018,29,32.2,22.3,26.6,98.0,48.0,78.3
Incheon,2018,29,35.0,25.5,29.6,87.0,42.0,64.2
Incheon,2018,30,34.4,25.9,29.2,98.0,45.0,74.9
Incheon,2018,31,35.2,25.8,31.1,80.0,43.0,57.7
Incheon,2018,31,35.4,27.1,30.6,98.0,47.0,71.2
Incheon,2018,32,34.4,26.1,29.6,98.0,46.0,76.6
Incheon,2018,32,33.9,27.3,30.3,79.0,51.0,62.9
Incheon,2018,33,34.9,22.5,29.1,92.0,28.0,58.2
Incheon,2018,34,34.1,21.2,26.1,98.0,48.0,75.2
Incheon,2018,35,27.6,20.5,24.4,99.0,51.0,87.9
Incheon,2018,35,28.2,21.8,24.1,98.0,47.0,77.1
Incheon,2018,35,29.9,21.1,26.0,70.0,44.0,56.1
Incheon,2018,36,26.9,16.8,22.9,98.0,36.0,68.6
Incheon,2018,37,27.4,18.1,22.9,95.0,39.0,65.6
Incheon,2018,38,24.9,17.7,20.5,99.0,43.0,76.8
