city,year,week,highest_temp,lowest_temp,avg_temp,highest_humidity,lowest_humidity,avg_humidity
Jeju,2017,1,13.4,6.1,10.5,95.0,46.0,73.8
Jeju,2017,2,10.0,0.9,5.6,83.0,42.0,59.9
Jeju,2017,3,8.3,1.2,5.0,82.0,51.0,62.3
Jeju,2017,3,6.6,2.5,4.3,86.0,48.0,61.8
Jeju,2017,4,14.5,0.8,5.7,94.0,26.0,64.3
Jeju,2017,5,9.6,1.5,3.7,95.0,55.0,66.9
Jeju,2017,5,12.1,1.5,6.7,96.0,42.0,63.7
Jeju,2017,6,8.4,0.1,4.0,87.0,41.0,64.8
Jeju,2017,6,7.0,3.2,4.6,71.0,44.0,57.1
Jeju,2017,7,18.3,1.4,8.1,93.0,33.0,56.8
Jeju,2017,8,17.7,2.4,7.6,96.0,40.0,63.4
Jeju,2017,9,12.6,3.9,7.8,70.0,37.0,55.0
Jeju,2017,9,14.4,3.2,8.0,75.0,46.0,58.2
Jeju,2017,9,14.0,7.8,10.6,76.0,51.0,67.4
Jeju,2017,10,16.5,3.4,8.6,80.0,25.0,47.0
Jeju,2017,11,15.5,5.2,9.8,73.0,30.0,55.7
Jeju,2017,12,14.3,5.4,10.3,94.0,47.0,68.7
Jeju,2017,12,11.3,7.2,9.3,90.0,54.0,75.2
Jeju,2017,13,17.3,7.2,12.2,90.0,45.0,65.6
Jeju,2017,13,15.2,8.9,11.3,79.0,32.0,59.5
Jeju,2017,14,21.8,8.7,15.1,98.0,23.0,72.1
Jeju,2017,15,23.0,10.8,15.5,98.0,19.0,64.7
Jeju,2017,16,23.9,12.2,15.6,96.0,30.0,68.3
Jeju,2017,16,17.6,10.3,14.2,84.0,52.0,69.6
Jeju,2017,17,27.1,12.0,18.2,96.0,19.0,53.4
Jeju,2017,18,25.4,15.3,19.2,97.0,13.0,63.5
Jeju,2017,19,27.4,14.3,18.6,97.0,18.0,68.4
Jeju,2017,19,22.9,14.0,17.9,97.0,26.0,75.5
Jeju,2017,20,26.8,14.6,19.4,88.0,26.0,52.3
Jeju,2017,21,26.6,13.9,19.8,96.0,21.0,65.8
Jeju,2017,22,26.3,18.6,22.4,92.0,26.0,62.8
Jeju,2017,22,25.0,17.2,20.6,96.0,62.0,78.6
Jeju,2017,22,24.2,16.8,20.4,72.0,42.0,57.3
Jeju,2017,23,26.9,17.7,21.6,96.0,37.0,71.9
Jeju,2017,24,27.3,17.5,21.2,94.0,40.0,73.7
Jeju,2017,25,26.3,19.6,22.7,96.0,60.0,81.7
Jeju,2017,25,25.5,21.1,23.0,98.0,68.0,86.4
Jeju,2017,26,26.3,21.0,23.1,98.0,72.0,89.4
Jeju,2017,26,33.4,23.5,28.0,95.0,53.0,75.3
Jeju,2017,27,32.9,24.1,28.4,94.0,52.0,77.9
