city,year,week,highest_temp,lowest_temp,avg_temp,highest_humidity,lowest_humidity,avg_humidity
Seoul,2017,1,11.0,-2.1,4.3,89.0,32.0,63.6
Seoul,2017,2,4.0,-11.4,-4.0,81.0,21.0,43.2
Seoul,2017,3,4.6,-9.9,-2.8,93.0,17.0,57.9
Seoul,2017,3,-3.3,-10.4,-7.2,91.0,39.0,56.0
Seoul,2017,4,4.0,-12.6,-3.8,95.0,20.0,52.4
Seoul,2017,5,-0.2,-9.7,-4.9,92.0,27.0,54.6
Seoul,2017,5,6.5,-9.2,-0.7,91.0,24.0,61.3
Seoul,2017,6,2.7,-9.3,-3.8,69.0,31.0,47.6
Seoul,2017,6,3.9,-7.3,-2.3,68.0,31.0,48.8
Seoul,2017,7,10.2,-6.9,1.1,94.0,21.0,56.4
Seoul,2017,8,9.4,-7.5,0.5,95.0,21.0,55.9
Seoul,2017,9,12.2,-1.6,4.4,60.0,20.0,39.3
Seoul,2017,9,11.4,-3.0,3.4,93.0,28.0,61.1
Seoul,2017,9,12.5,1.3,6.2,90.0,33.0,64.1
Seoul,2017,10,16.3,-5.2,3.1,85.0,19.0,44.6
Seoul,2017,11,18.8,0.4,7.5,80.0,15.0,40.2
Seoul,2017,12,15.3,1.9,8.5,81.0,17.0,40.4
Seoul,2017,12,12.5,4.8,8.0,77.0,18.0,45.2
Seoul,2017,13,16.9,2.5,8.1,88.0,24.0,58.6
Seoul,2017,13,15.5,3.1,8.8,83.0,26.0,58.1
Seoul,2017,14,23.0,4.4,12.8,99.0,21.0,62.9
Seoul,2017,15,24.2,6.3,14.8,89.0,10.0,44.1
Seoul,2017,16,18.8,7.0,13.1,92.0,27.0,57.5
Seoul,2017,16,22.3,8.6,14.5,85.0,18.0,47.1
Seoul,2017,17,27.4,7.9,15.8,79.0,15.0,47.1
Seoul,2017,18,30.0,10.1,19.4,86.0,16.0,43.2
Seoul,2017,19,24.8,11.2,17.9,94.0,35.0,62.2
Seoul,2017,19,22.6,11.1,16.5,88.0,34.0,67.7
Seoul,2017,20,27.5,12.3,19.3,81.0,21.0,49.8
Seoul,2017,21,28.0,12.5,20.2,92.0,22.0,52.1
Seoul,2017,22,29.8,17.7,23.2,80.0,7.0,51.6
Seoul,2017,22,26.9,15.8,21.8,82.0,23.0,50.8
Seoul,2017,22,27.8,15.2,21.4,60.0,21.0,38.5
Seoul,2017,23,30.1,14.6,20.9,100.0,16.0,57.5
Seoul,2017,24,32.6,17.0,23.2,86.0,26.0,55.9
Seoul,2017,25,32.2,19.5,25.1,86.0,28.0,53.1
Seoul,2017,25,33.8,21.1,25.4,91.0,27.0,61.5
Seoul,2017,26,31.3,20.2,25.0,92.0,44.0,68.3
Seoul,2017,26,30.4,22.4,25.0,98.0,48.0,81.1
Seoul,2017,27,34.0,22.0,26.4,100.0,40.0,78.9
Seoul,2017,28,32.7,22.3,26.3,100.0,54.0,80.7
Seoul,2017,29,34.9,23.9,28.2,99.0,48.0,73.9
Seoul,2017,29,32.2,26.2,28.3,100.0,61.0,81.8
Seoul,2017,30,34.9,24.2,27.4,98.0,42.0,70.6
Seoul,2017,31,27.1,25.0,25.9,91.0,72.0,81.4
Seoul,2017,31,35.0,24.2,30.0,93.0,41.0,66.9
Seoul,2017,32,34.0,23.9,27.4,93.0,41.0,72.6
Seoul,2017,32,32.2,23.2,27.1,80.0,47.0,62.7
Seoul,2017,33,30.5,20.5,24.3,99.0,57.0,80.6
Seoul,2017,34,31.3,19.0,25.5,99.0,26.0,72.0
Seoul,2017,35,27.3,16.1,20.8,91.0,33.0,61.0
Seoul,2017,35,27.2,17.3,20.6,78.0,36.0,61.3
Seoul,2017,35,29.4,18.7,24.2,79.0,35.0,58.3
Seoul,2017,36,30.1,17.8,22.9,89.0,31.0,68.1
Seoul,2017,37,29.2,15.2,22.1,93.0,30.0,55.7
Seoul,2017,38,27.4,14.3,20.7,88.0,30.0,62.6
Seoul,2017,38,27.7,17.6,22.3,86.0,37.0,67.0
Seoul,2017,39,31.1,11.3,21.4,83.0,21.0,54.7
Seoul,2017,39,21.1,15.5,18.2,91.0,59.0,74.0
Seoul,2017,40,29.0,10.7,19.7,93.0,33.0,60.2
Seoul,2017,41,26.7,6.2,16.4,92.0,23.0,61.1
Seoul,2017,42,24.9,9.2,16.8,83.0,27.0,53.9
Seoul,2017,42,23.1,11.1,16.4,68.0,33.0,50.4
Seoul,2017,43,24.7,6.8,14.7,82.0,25.0,53.2
Seoul,2017,44,15.2,2.7,8.8,72.0,17.0,38.5
Seoul,2017,44,18.0,2.9,11.7,89.0,34.0,63.4
Seoul,2017,45,18.3,2.8,10.9,91.0,19.0,54.0
Seoul,2017,45,11.1,0.5,5.6,73.0,34.0,53.6
Seoul,2017,46,11.8,-6.6,2.8,84.0,15.0,41.9
Seoul,2017,47,10.8,-4.1,1.8,98.0,29.0,60.3
Seoul,2017,48,10.8,-4.8,2.5,88.0,15.0,48.8
Seoul,2017,48,4.3,-7.6,-2.4,87.0,21.0,55.6
Seoul,2017,48,8.0,3.1,5.1,92.0,35.0,71.1
Seoul,2017,49,6.7,-8.1,-1.0,96.0,23.0,55.0
Seoul,2017,50,0.9,-12.3,-6.7,76.0,22.0,42.9
Seoul,2017,51,6.5,-8.5,-1.1,91.0,23.0,67.4
Seoul,2017,51,8.6,0.0,4.7,96.0,63.0,79.3
Seoul,2017,52,5.7,-10.2,-1.9,95.0,15.0,51.6
Seoul,2018,1,3.7,-8.6,-2.7,71.0,20.0,43.7
Seoul,2018,1,-7.7,-8.1,-7.9,44.0,42.0,43.0
Seoul,2018,2,5.3,-15.1,-5.1,89.0,21.0,54.0
Seoul,2018,3,8.5,-3.6,2.7,87.0,17.0,55.6
Seoul,2018,3,-0.1,-0.4,-0.3,32.0,29.0,31.0
Seoul,2018,4,3.9,-17.8,-10.0,96.0,20.0,38.4
Seoul,2018,5,-0.1,-11.5,-5.5,91.0,23.0,50.7
Seoul,2018,5,3.6,-12.8,-5.7,82.0,23.0,45.7
Seoul,2018,6,6.0,-13.3,-5.5,82.0,14.0,40.8
Seoul,2018,6,-4.2,-7.0,-5.4,69.0,47.0,58.7
Seoul,2018,7,8.7,-9.5,-1.3,70.0,14.0,38.4
Seoul,2018,8,8.3,-4.3,1.6,97.0,14.0,50.0
Seoul,2018,9,10.3,-3.1,3.9,96.0,23.0,54.3
Seoul,2018,9,16.0,-6.6,3.2,97.0,14.0,52.1
Seoul,2018,9,11.8,8.7,10.9,92.0,80.0,84.2
Seoul,2018,10,11.9,-1.0,5.3,94.0,20.0,61.0
Seoul,2018,11,21.7,0.5,10.1,98.0,23.0,58.1
Seoul,2018,12,12.7,0.6,5.6,92.0,24.0,59.5
Seoul,2018,12,16.7,6.3,12.1,82.0,37.0,55.9
Seoul,2018,13,21.8,5.4,13.6,97.0,26.0,62.9
Seoul,2018,13,18.2,11.7,15.3,83.0,53.0,68.9
Seoul,2018,14,23.7,0.9,10.3,97.0,22.0,67.2
Seoul,2018,15,21.9,0.1,11.6,97.0,14.0,51.2
Seoul,2018,16,26.1,5.0,14.5,73.0,10.0,39.4
Seoul,2018,16,20.7,11.3,16.1,94.0,21.0,49.7
Seoul,2018,17,23.2,5.8,14.0,96.0,19.0,56.2
Seoul,2018,18,24.8,14.1,18.8,79.0,45.0,60.4
Seoul,2018,18,23.8,7.0,16.0,97.0,26.0,67.4
Seoul,2018,19,25.5,9.2,16.3,97.0,31.0,61.5
Seoul,2018,19,19.7,13.0,15.8,98.0,63.0,86.7
Seoul,2018,20,29.1,10.4,19.3,98.0,22.0,69.7
Seoul,2018,21,29.4,11.3,19.0,97.0,23.0,52.3
Seoul,2018,22,28.7,14.3,21.1,93.0,36.0,61.9
Seoul,2018,22,29.9,17.5,22.8,76.0,30.0,51.2
Seoul,2018,22,30.7,16.9,24.5,66.0,21.0,38.6
Seoul,2018,23,30.1,17.8,22.7,91.0,30.0,59.9
Seoul,2018,24,28.4,16.3,21.8,97.0,37.0,64.2
Seoul,2018,25,31.9,18.2,23.6,87.0,23.0,57.5
Seoul,2018,25,31.8,20.2,25.5,91.0,31.0,57.7
Seoul,2018,26,32.7,19.1,24.0,98.0,31.0,77.8
Seoul,2018,26,22.7,21.1,22.0,97.0,85.0,93.7
Seoul,2018,27,32.4,17.8,24.7,98.0,37.0,68.0
Seoul,2018,28,32.9,20.2,25.9,98.0,49.0,78.3
Seoul,2018,29,36.8,23.3,28.9,88.0,30.0,63.1
Seoul,2018,29,37.8,25.3,31.3,73.0,31.0,51.4
Seoul,2018,30,36.4,26.4,30.7,86.0,33.0,63.5
Seoul,2018,31,38.0,26.2,32.0,66.0,34.0,50.0
Seoul,2018,31,39.4,27.3,32.3,95.0,37.0,59.5
Seoul,2018,32,36.4,25.7,30.3,87.0,37.0,66.4
Seoul,2018,32,35.8,27.2,31.2,86.0,36.0,57.1
Seoul,2018,33,37.4,21.6,29.3,91.0,26.0,53.7
Seoul,2018,34,37.4,20.4,27.0,95.0,35.0,66.4
Seoul,2018,35,30.3,20.3,24.5,98.0,41.0,83.7
Seoul,2018,35,28.9,20.9,23.3,88.0,46.0,73.0
Seoul,2018,35,30.5,20.2,25.9,66.0,41.0,52.3
Seoul,2018,36,28.9,15.7,23.0,97.0,27.0,63.1
Seoul,2018,37,28.2,16.8,22.8,95.0,37.0,62.6
Seoul,2018,38,27.6,17.6,20.8,97.0,33.0,71.3
Seoul,2018,38,25.4,15.8,20.5,78.0,28.0,52.3
Seoul,2018,39,26.6,10.8,18.5,81.0,26.0,50.8
Seoul,2018,40,25.3,10.4,17.1,97.0,29.0,65.0
Seoul,2018,41,20.6,5.3,12.6,95.0,24.0,53.9
Seoul,2018,42,21.3,7.0,13.6,86.0,20.0,56.7
Seoul,2018,42,13.0,11.8,12.3,57.0,49.0,54.0
Seoul,2018,43,20.6,6.0,11.8,95.0,30.0,63.4
Seoul,2018,44,11.3,0.8,6.7,83.0,33.0,54.9
Seoul,2018,44,19.3,2.5,10.5,79.0,24.0,54.8
Seoul,2018,45,18.0,6.3,11.6,97.0,36.0,74.0
Seoul,2018,46,16.1,0.7,8.0,78.0,30.0,54.5
Seoul,2018,47,12.3,0.3,6.5,87.0,16.0,50.3
Seoul,2018,47,9.5,-3.0,2.9,97.0,16.0,53.0
Seoul,2018,48,13.2,-1.5,5.0,93.0,13.0,49.9
Seoul,2018,48,12.2,0.9,6.5,55.0,25.0,46.2
Seoul,2018,49,13.5,-11.7,-0.1,98.0,17.0,50.4
Seoul,2018,50,4.4,-8.1,-1.5,72.0,18.0,39.7
Seoul,2018,50,3.2,-7.7,-2.3,88.0,23.0,50.8
Seoul,2018,51,12.3,-2.8,3.9,86.0,19.0,49.7
Seoul,2018,52,5.0,-14.2,-5.4,76.0,16.0,36.6
Seoul,2019,1,3.9,-8.7,-3.3,81.0,19.0,43.9
Seoul,2019,1,6.7,-6.7,2.8,87.0,48.0,70.7
Seoul,2019,2,7.8,-9.3,-0.6,78.0,19.0,44.9
Seoul,2019,3,8.1,-9.8,-0.4,83.0,19.0,52.2
Seoul,2019,4,3.9,-6.5,-2.1,77.0,40.0,54.6
Seoul,2019,4,6.9,-6.6,0.0,88.0,13.0,43.5
Seoul,2019,5,6.7,-5.6,0.4,78.0,18.0,40.4
Seoul,2019,5,5.7,-7.4,0.7,97.0,29.0,65.4
Seoul,2019,6,10.1,-10.1,-1.5,89.0,17.0,39.3
Seoul,2019,7,1.6,-7.4,-3.8,47.0,22.0,34.5
Seoul,2019,7,6.3,-6.7,-1.4,93.0,16.0,43.3
Seoul,2019,8,14.1,-4.5,3.3,94.0,16.0,55.9
Seoul,2019,9,14.0,-1.5,5.9,88.0,16.0,42.0
Seoul,2019,9,15.7,1.4,7.9,61.0,16.0,38.6
Seoul,2019,10,16.1,-0.3,8.1,81.0,10.0,45.0
Seoul,2019,11,12.0,-1.7,5.0,95.0,15.0,56.3
Seoul,2019,12,16.7,1.4,8.8,97.0,21.0,62.7
Seoul,2019,12,9.3,-0.8,3.6,84.0,21.0,45.6
Seoul,2019,13,17.5,2.9,8.4,93.0,17.0,54.1
Seoul,2019,14,19.9,0.4,8.7,89.0,14.0,40.4
Seoul,2019,15,16.8,4.3,9.3,92.0,12.0,52.3
